# 誤読を招く辞書エントリの削除リスト (表層形,読み)
#
# drop_conflicting_ortho_variants() / drop_numeral_misreadings() の汎用フィルタでは
# 拾えない個別の誤読を落とす。読みが別語のものに差し替わっている NEologd エントリが主。

# 助動詞・助詞の語形に名詞が続く表記ゆれ。「〜した人」が「シタニン」、「〜たい人」「〜ない人」が
# 「い人(イジン)」「たい人(タイジン)」に割れて誤読になる。NEologd の
# neologd-common-noun-ortho-variant-dict-seed にあるので、上流から作り直しても落とせるようにここに書く
い人,イジン
たい人,タイジン
た人,タニン
だ人,ダニン
な人,ナニン
の人,ノニン
# 「正しく」を「まさしく」と読む副詞エントリ。形容詞「正しい」の連用形が本来
正しく,マサシク
# 語順が入れ替わった NEologd エントリ。「目標数値」の読みが「数値目標」になっている
目標数値,スウチモクヒョウ
# 「情報収集」の「情報」が「ジョホウ」になっている NEologd エントリ
情報収集,ジョホウシュウシュウ
# 「広告」が「コウウコク」になっている NEologd エントリ
広告宣伝費,コウウコクセンデンヒ
# 「最終面接」の読みが「一次面接」になっている NEologd エントリ
最終面接,イチジメンセツ
# 漢数字+助数詞に人名がマッチする。「十名」が「トナ(姓)」になる
十名,トナ
# 英字の綴り読みを小書き仮名で書いた NEologd エントリ。モーラ数が減って
# word2ph がずれる（「エィビィシィ」は 3 モーラ、「エービーシー」は 6 モーラ）。
# 落とすと解析時の綴り読み補完が「エービーシー」を付ける
ABC,エィビィシィ
# 「しましょう」を動詞,自立 (原形「しましょう」) として登録した表層形エントリ。
# 「し」+「ましょ」+「う」で正しく解析できるのに、こちらが勝つと直前の動詞の
# 連用形が名詞として切り出され、「話しましょう→ハナシシマショウ」
# 「思い出しましょう→オモイデシマショウ」「試しましょう→ココロミシマショウ」
# 「目指しましょう→モクシシマショウ」「探しましょう→モトムシマショウ」になる。
# 「ました」「ます」「ません」に同種のエントリは無い
しましょう,シマショウ
# 「以」を動詞,自立 (「以て」の語幹) として登録したエントリ。
# 「が以前より」で「以(モッ)」+「前(マエ)」に割れて「以前」が読めなくなる
以,モッ
# 「漏洩」の読みが「ろうせつ」になっている。現代語では「ろうえい」
漏洩,ロウセツ
# 漢数字+助数詞に人名・誤読エントリがマッチする
# (「50代」→「五十代(イカダイ)」、「数人」→人名「カズト」)
五十代,イカダイ
数人,カズト
# 「4.1」が「四点一」になるため、固有名詞「四点(シテン)」が節番号の読みに勝つ
四点,シテン
# 読みが別語に差し替わっている NEologd エントリ
多国籍企業,タコクサキキギョウ
反逆者,トリズナー
念押し,ネンオシシ
CSP,シュウコウガタタイヨウネツハツデン
Unknown,アンノウンモシクハレイ
D.C.,ダカーポ
# 「数人」に人名エントリが 2 つある (カズト / カズヒト)。本来は「スウニン」
数人,カズヒト
# マイナス記号を「引く」と読む IPAdic のエントリ。文章では「K−POP」「羽田−シンガポール間」「サ−ビス」の
# ようにハイフン・ダッシュ・長音の代わりに使うことが多く、読み上げに「ヒク」が入る（ニュースコーパスの
# 「−」706 回のうち、数字に挟まれた引き算らしいものは 57 回）。落とすと記号の未知語（記号,一般、読みなし）になる。
# 「−」(U+2212) は EUC-JP の IPAdic を JIS 側の字に写すようにしてから当たるようになった。「－」(U+FF0D) は
# Windows 由来の文章の同じ字
−,ヒク
－,ヒク
